manager,name,version,build,channel,installer,role,source
conda,_py-xgboost-mutex,2.0,cpu_2,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,_py-xgboost-mutex-2.0-cpu_2.json
conda,absl-py,2.1.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,absl-py-2.1.0-py313haa95532_0.json
conda,accelerate,1.4.0,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,accelerate-1.4.0-py_0.json
conda,addict,2.4.0,py_4,https://conda.anaconda.org/esri/noarch,conda,inventory,addict-2.4.0-py_4.json
conda,affine,2.4.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,affine-2.4.0-py313haa95532_0.json
conda,aiodns,3.5.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,aiodns-3.5.0-py313haa95532_0.json
conda,aiohappyeyeballs,2.6.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,aiohappyeyeballs-2.6.1-py313haa95532_0.json
conda,aiohttp,3.12.15,py313h02ab6af_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,aiohttp-3.12.15-py313h02ab6af_0.json
conda,aiosignal,1.4.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,aiosignal-1.4.0-py313haa95532_0.json
conda,aisuite,0.1.7,py_2,https://conda.anaconda.org/esri/noarch,conda,inventory,aisuite-0.1.7-py_2.json
conda,albucore,0.0.24,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,albucore-0.0.24-py_0.json
conda,albumentations,2.0.8,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,albumentations-2.0.8-py_0.json
conda,alembic,1.16.5,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,alembic-1.16.5-py313haa95532_0.json
conda,annotated-types,0.6.0,py_2,https://conda.anaconda.org/esri/noarch,conda,inventory,annotated-types-0.6.0-py_2.json
